병원명,전화번호,소재지,사업자등록번호,,,,
24시 중리 행복한동물병원,552317555,경상남도 창원시 마산회원구 내서읍 호계리,,,,,
24시 지구촌 동물메디컬 센터,28697582,서울특별시 구로구 구로동,,,,,
24시 청담우리 동물병원,25417515,서울특별시 강남구 삼성동,120-11-81206,,,,
24시 초이스 동물병원,432378275,충청북도 청주시 흥덕구 복대동,,,,,
24시 치유동물의료센터,269648276,서울특별시 은평구 녹번동,728-51-00508,,,,
24시 팔용feel동물병원,552551275,경상남도 창원시 의창구 팔용동,,,,,
24시 폴 동물병원,317177558,경기도 성남시 분당구 정자동,895-11-00248,,,,
24시 휴동물의료센터,518196061,부산광역시 부산진구 전포동,,,,,
24시LC동물의료센터,233947530,서울특별시 성동구 용답동,,,,,
24시OK동물병원,25697582,서울특별시 강남구 대치동,,,,,
24시간 대전동물메디컬센터 숲,428267584,대전광역시 유성구 봉명동,,,,,
24시꿈동물병원,312227617,경기도 수원시 권선구 권선동,,,,,
24시넬동물의료센터,314217579,"경기도 안양시 동안구 시민대로 312, 129,130,131호 (평촌동, 평촌칼라힐주차빌딩)",519-17-00292,,,,
24시노아동물메디컬센터,622220075,광주광역시 동구 대인동,,,,,
24시동물병원,312817585,경기도 용인시 기흥구 구갈동,,,,,
24시동물병원,647022475,제주특별자치도 제주시 도남동,,,,,
24시동물병원 공감,627162979,광주광역시 광산구 장덕동,803-50-00189,,,,
24시동탄윌동물의료센터,318313531,경기도 화성시 반송동,,,,,
24시똑똑똑 동물메디컬센터,647497585,제주특별자치도 제주시 연동,,,,,
24시루시드동물메디컬센터,29417900,서울특별시 강북구 미아동,,,,,
24시마음든든동물병원,314742475,경기도 안양시 만안구 석수동,,,,,
24시배곧스마트동물병원,314321224,경기도 시흥시 정왕동,,,,,
24시보듬동물병원,336557975,강원도 강릉시 임당동,,,,,
24시본동물메디컬센터 수성점,536347582,대구광역시 수성구 만촌동,,,,,
24시분당리더스동물의료원,317118275,경기도 성남시 분당구 구미동,,,,,
24시삼성동물의료센터,312067512,경기도 수원시 영통구 영통동,106-05-66794,,,,
24시센트럴동물메디컬센터,233957975,서울특별시 성동구 행당동,,,,,
24시스마일동물병원,316337582,경기도 이천시 진리동,725-45-00129,,,,
24시스마트동물메디컬센터,23877582,서울특별시 은평구 응암동,,,,,
24시아프리카동물메디컬센터,236657975,서울특별시 강서구 등촌동,,,,,
24시야간응급동물병원펫츠올,552405800,경상남도 창원시 마산합포구 신포동2가,,,,,
24시예담동물의료센터,269527519,서울특별시 은평구 역촌동,,,,,
24시예스동물병원,25343475,서울특별시 서초구 반포동,,,,,
24시위드동물병원(정왕동동물의료센터),314888075,경기도 시흥시 정왕동,,,,,
24시유앤미동물병원,324330755,인천광역시 남동구 간석동,131-29-23647,,,,
24시잠실ON동물의료센터,24180724,서울특별시 송파구 잠실동,,,,,
24시청주i동물병원,432149975,충청북도 청주시 청원구 율량동,,,,,
24시청주나음동물메디컬,437161275,충청북도 청주시 상당구 용암동,317-05-16268,,,,
24시청주나음동물메디컬,4.37161E+19,충청북도 청주시 상당구 용암동,,,,,
24시큰사랑동물병원,3180113690,경기도 이천시 중리동,754-33-00615,,,,
24시프라임동물병원,536319966,대구광역시 달서구 대곡동,,,,,
24시해든동물메디컬센터,327157579,경기도 부천시 중동,,,,,
24시핸즈동물의료센터,3186772115,경기도 화성시 오산동,,,,,
24시휴동물의료센터,317357582,경기도 성남시 수정구 신흥동,725-19-01115,,,,
24아프리카동물메디컬센터,424867581,대전광역시 서구 탄방동,,,,,
24일산우리동물병원,319135550,,,,,,
25시 동물병원,317310025,경기도 성남시 중원구 은행동,,,,,
25시 동물병원,516350402,부산광역시 남구 문현동,,,,,
25시 종합 동물병원,337640119,강원도 원주시 무실동,,,,,
25시 종합동물병원,313781114,경기도 오산시 오산동,,,,,
25시 죽곡동물병원,535878765,대구광역시 달성군 다사읍 죽곡리,,,,,
25시동물병원,29350075,서울특별시 노원구 중계동,,,,,
25시동물병원,315943119,경기도 남양주시 화도읍 마석우리,,,,,
25시동물의료센터,24191351,서울특별시 송파구 삼전동,,,,,
25시종합동물병원,536511101,대구광역시 달서구 송현동,,,,,
25힐링센터,,제주특별자치도 서귀포시 표선면 성읍리,,,,,
365 신원당 동물병원,,경기도 고양시 덕양구 성사동,,,,,
365동물병원,264020365,서울특별시 도봉구 방학동,210-21-98144,,,,
365동물병원 분당점,317180365,경기도 성남시 분당구 구미동,330-07-00574,,,,
365동물병원위례점,317510365,경기도 성남시 수정구 창곡동,478-14-01344,,,,
365동판교동물병원,317817582,경기도 성남시 분당구 백현동,,,,,
4U동물메디컬센터,313648220,경기도 안산시 단원구 고잔동,134-32-18819,,,,
ABC동물병원,517612502,부산광역시 수영구 광안동,617-33-18612,,,,
ACE동물병원,322057582,인천광역시 연수구 송도동,453-01-00633,,,,
AK동물병원,332422112,강원도 춘천시 중앙로3가,,,,,
Angel-In-Dogs Animal Hospital,522696633,울산광역시 남구 달동,,,,,
AP동물병원,312630085,경기도 용인시 수지구 동천동,,,,,
AtoZ동물병원,3180168206,경기도 성남시 분당구 백현동,312-53-00419,,,,
AVC 동물메디컬센터,325474788,인천광역시 계양구 계산동,,,,,
BAC 바른동물병원,,경상북도 안동시 정하동,,,,,
BB동물병원,522117599,울산광역시 울주군 범서읍 구영리,,,,,
Be 동물병원,323497975,경기도 부천시 괴안동,,,,,
BS조은동물병원,515447588,부산광역시 해운대구 반송동,,,,,
C.T.종합동물병원,263750075,서울특별시 마포구 신공덕동,,,,,
Central 동물병원,328157582,인천광역시 연수구 송도동,,,,,
CH동물병원,24887510,서울특별시 강동구 천호동,,,,,
CJ동물병원,323234999,경기도 부천시 중동,,,,,
CM 동물병원,435338868,충청북도 진천군 광혜원면 광혜원리,,,,,
D&C동물병원,324347525,인천광역시 남동구 간석동,,,,,
DK동물병원,,경상북도 칠곡군 동명면 금암리,,,,,
Dr. dog 동물영상의료센터,9320075~6,경기도 고양시 일산동구 정발산동,,,,,
Dr. 오즈 동물병원,317018225,경기도 성남시 분당구 서현동,,,,,
Dr.Dog동물의료센터,319320075,경기도 고양시 일산동구 정발산동,,,,,
Dr.G 동물병원,,인천광역시 강화군 강화읍 신문리,,,,,
Dr.JK 동물병원,,경기도 고양시 일산동구 장항동,,,,,
Dr.J동물병원,312157975,경기도 용인시 기흥구 영덕동,,,,,
Dr.K 종합동물병원,,충청남도 아산시 둔포면 석곡리,,,,,
Dr.Mini 하늘다람쥐 전문병원,7077960333,경기도 파주시 문발동,,,,,
Dr.남동물병원,622360575,광주광역시 서구 화정동,,,,,
Dr.베토벤동물병원,24271076,서울특별시 강동구 상일동,,,,,
Dr.수동물병원,27857582,서울특별시 영등포구 여의도동,,,,,
Dr.윤24시동물병원,23592020,서울특별시 은평구 대조동,,,,,
Dr.주 동물병원,224700030,서울특별시 강동구 둔촌동,,,,,
DS동물병원,28370837,서울특별시 관악구 신림동,,,,,
E 동물의료원,435448514,충청북도 보은군 마로면 관기리,,,,,
e-동물 메디컬 센터,,전라남도 무안군 삼향읍 남악리,,,,,
FM 동물메디컬센터,319797975,경기도 고양시 덕양구 화정동,818-16-00417,,,,
GD동물병원,24298822,서울특별시 강동구 상일동,,,,,
H 동물병원,29847588,서울특별시 강북구 미아동,,,,,
Helix ADI Center : 헬릭스 영상진단센터,319787575,경기도 고양시 덕양구 행신동,,,,,
I-pet 동물병원,27867582,서울특별시 영등포구 여의도동,,,,,
J&C 동물병원,316435545,경기도 이천시 설성면 신필리,,,,,
J.H 동물병원,,대전광역시 서구 갈마동,,,,,
JA 임상병리 동물병원,313470546,경기도 안양시 만안구 안양동,,,,,
JB동물병원,448677595,세종특별자치시 아름동,,,,,
JM서울동물병원(산업동물출장진료전문),,경상남도 함안군 칠서면 청계리,,,,,
Jpet동물병원,518537579,부산광역시 연제구 연산동,,,,,
J동물병원,325667582,인천광역시 서구 청라동,,,,,
KABB 동물병원,,대구광역시 수성구 지산동,,,,,
KABB-C 동물병원,,,,,,,
KP 양계연구소,,전라북도 군산시 대야면 지경리,,,,,
KRA 렛츠런파크제주 동물병원,647868341,제주특별자치도 제주시 애월읍 유수암리,,,,,
KRA 부산동물병원,519017434,부산광역시 강서구 범방동,,,,,
KRA 장수동물병원,633503761,전라북도 장수군 장계면 명덕리,,,,,
KRH동물병원,,경기도 김포시 감정동,,,,,
KU건국동물병원,413351023,충청남도 예산군 예산읍 산성리,,,,,
KYH웰빙동물병원,24223379,서울특별시 송파구 잠실동,,,,,
LART ACADEMY,,경기도 남양주시 와부읍 덕소리,,,,,
LK 동물병원,29526426,서울특별시 노원구 중계동,,,,,
LOVE MY PET 동물병원,23827582,서울특별시 은평구 응암동,,,,,
MK동물병원,,울산광역시 울주군 온산읍 덕신리,,,,,
MS동물병원,8.68663E+17,부산광역시 연제구 연산동,,,,,
MVP동물병원,632278575,전라북도 전주시 완산구 효자동3가,,,,,
My pet 동물병원,635388575,전라북도 정읍시 수성동,,,,,
NS대흥동물병원,,충청남도 논산시 채운면 화정리,,,,,
O.K 동물병원,555467588,경상남도 창원시 진해구 여좌동,,,,,
O.K 동물병원,555467588,경상남도 창원시 진해구 여좌동,,,,,
on동물병원,556463188,경상남도 통영시 북신동,,,,,
PET119동물병원,612846994,전라남도 목포시 상동,,,,,
PET25시동물병원,316556941,경기도 평택시 평택동,,,,,
PMC,316357620,경기도 이천시 대월면 사동리,,,,,
SKY동물병원,226665667,서울특별시 강서구 방화동,,,,,
sun동물병원,312345550,경기도 수원시 권선구 곡반정동,,,,,
S동물병원,323225222,경기도 부천시 상동,130-45-65979,,,,
S동물의료센터,3180033232,경기도 화성시 반송동,268-12-01103,,,,
THE나은동물병원,534777582,대구광역시 달서구 도원동,,,,,
The행복한동물병원,552428988,경상남도 창원시 마산회원구 내서읍 호계리,,,,,
THE힘찬동물병원,,경기도 용인시 기흥구 중동,,,,,
TLC 동물의료센터,,경기도 부천시 중동,,,,,
two현동물병원,7040677858,경기도 평택시 동삭동,,,,,
UN동물의료센터,516242475,부산광역시 남구 대연동,602-37-63660,,,,
V+care 동물병원,269493038,서울특별시 서초구 반포동,,,,,
VIP 동물의료센터,29530075,서울특별시 성북구 동소문동6가,209-85-21458,,,,
VIP동물의료센터,222157522,서울특별시 동대문구 장안동,,,,,
VIP동물의료센터 서초동작점,25253102,서울특별시 서초구 방배동,614-21-60535,,,,
VIP동물의료센터 청담점,25117522,서울특별시 강남구 청담동,,,,,
VIP동물한방재활의학센터,25117522,서울특별시 강남구 청담동,,,,,
WE 동물병원,312699975,경기도 수원시 장안구 정자동,,,,,
Wellness clinic 동물병원,312831357,경기도 용인시 기흥구 보정동,142-05-84838,,,,
Wiz-Pet 동물병원,,경기도 고양시 일산동구 백석동,,,,,
W동물의료센터,516265050,부산광역시 남구 용호동,,,,,
y동물병원,537917532,대구광역시 수성구 시지동,,,,,
ZOO동물병원,29145545,서울특별시 성북구 정릉동,,,,,
가경 나음 동물병원,432367975,충청북도 청주시 흥덕구 가경동,,,,,
가경종합동물병원,,충청북도 청주시흥덕구 가경동,,,,,
가까운동물병원,,충청북도 청주시 서원구 분평동,,,,,
가까운동물병원,,충청북도 청주시흥덕구 분평동,,,,,
가나다 동물병원,517157979,부산광역시 사상구 주례동,,,,,
가나다동물병원,,전라남도 해남군 해남읍 고도리,,,,,
가나동물병원,326650075,경기도 부천시 송내동,,,,,
가나동물병원,4174242878,충청남도 논산시 연무읍 안심리,,,,,
가나동물병원,,경상북도 구미시 원평동,,,,,
가나동물병원,24418588,서울특별시 강동구 암사동,,,,,
가나동물병원,317217582,경기도 성남시 수정구 신흥동,,,,,
가나동물병원,547749975,경상북도 경주시 성건동,,,,,
가나동물병원,539410075,대구광역시 북구 산격동,,,,,
가나동물병원,234914748,서울특별시 도봉구 방학동,,,,,
가나동물병원,415347582,충청남도 아산시 온천동,,,,,
가나종합동물병원,226457588,서울특별시 양천구 목동,,,,,
가나종합동물병원,,경상북도 포항시 북구 대흥동,,,,,
가나종합동물병원,,경상북도 경산시 옥산동,,,,,
가능동물병원,318751476,경기도 의정부시 가능동,,,,,
가든펫동물병원,23735555,서울특별시 은평구 증산동,,,,,
가락종합동물병원,24130075,서울특별시 송파구 방이동,,,,,
가람가축병원,544322292,경상북도 김천시 황금동,,,,,
가람동물병원,552927375,경상남도 창원시 마산회원구 합성동,,,,,
가람동물병원,647947571,제주특별자치도 서귀포시 대정읍 하모리,,,,,
가람동물병원,536396366,대구광역시 달서구 상인동,,,,,
가람동물병원,545354123,경상북도 상주시 복룡동,,,,,
가람동물병원,315587582,경기도 구리시 인창동,,,,,
가람동물병원,323431397,경기도 부천시 괴안동,,,,,
가람동물병원,319060976,경기도 고양시 일산동구 마두동,,,,,
가람동물병원,547431947,경상북도 경주시 외동읍 입실리,,,,,
가람동물병원,319810123,경기도 김포시 양촌읍 양곡리,,,,,
가람동물병원,552927375,경상남도 창원시 마산회원구 합성동,,,,,
가람동물병원,613327975,전라남도 나주시 빛가람동,,,,,
가람동물병원,24845502,서울특별시 강동구 성내동,,,,,
가람동물병원,557553625,경상남도 진주시 칠암동,,,,,
가로수동물병원,623727975,광주광역시 서구 화정동,,,,,
가로수동물병원,25497579,서울특별시 강남구 신사동,,,,,
가믄장 동물병원,417518880,충청남도 금산군 금산읍 상리,,,,,
가야농업협동조합동물병원,559327750,경상남도 합천군 가야면 황산리,,,,,
가야동물병원,326553500,경기도 부천시 심곡동,,,,,
가야동물병원,544308275,경상북도 김천시 남산동,,,,,
가야동물병원,622518597,광주광역시 북구 우산동,,,,,
가야동물병원,312348318,경기도 수원시 팔달구 매산로3가,,,,,
가야동물병원,553524663,경상남도 밀양시 내이동,,,,,
가야종합동물병원,518947559,부산광역시 부산진구 개금동,,,,,
가양동물병원,,대전광역시 동구 가양동,,,,,
가양쿨펫동물병원,236651838,서울특별시 강서구 가양동,109-12-57083,,,,
가온동물병원,,경기도 파주시 목동동,,,,,
가온동물병원,553878256,경상남도 양산시 물금읍 가촌리,,,,,
가온동물병원,226432777,서울특별시 양천구 목동,,,,,
가온동물병원,269537512,서울특별시 강동구 고덕동,206-41-08622,,,,
가온동물병원,,전라북도 김제시 신풍동,,,,,
가온동물병원,539580075,대구광역시 북구 서변동,,,,,
가온동물병원,415535534,충청남도 천안시 동남구 청당동,,,,,
가온동물병원,,부산광역시 서구 서대신동1가,,,,,
가온동물의료센터,552747575,경상남도 창원시 성산구 가음동,,,,,
가인동물병원,,충청북도 충주시 연수동,,,,,
가재울봉쥬르동물병원,23058275,서울특별시 서대문구 북가좌동,,,,,
가정동물병원,325750833,인천광역시 서구 가정동,,,,,
가족동물병원,634466688,전라북도 군산시 수송동,,,,,
가좌동물병원,325797582,인천광역시 서구 가좌동,,,,,
가좌동물병원,319225777,경기도 고양시 일산서구 가좌동,,,,,
가좌동물병원,23074633,서울특별시 서대문구 북가좌동,,,,,
가축유전자원센터 동물병원,559603500,경상남도 함양군 서상면 상남리,,,,,
가평가축병원,315822412,경기도 가평군 가평읍 대곡리,,,,,
가평축산농협 동물병원,315824111,경기도 가평군 가평읍 대곡리,,,,,
갈매동물병원,315295088,,,,,,
감계동물병원,552918275,경상남도 창원시 의창구 북면 감계리,622-49-00089,,,,
감자동물병원,,대구광역시 수성구 매호동,,,,,
감춘영가축병원,,경상남도 남해군 남해읍 서변리,,,,,
갑을동물병원,517847844,부산광역시 해운대구 재송동,,,,,
강 동물병원,,경기도 용인시 처인구 백암면 백암리,,,,,
강 동물병원,553423060,경상남도 김해시 진영읍 진영리,,,,,
강남 25시동물병원,25458575,서울특별시 강남구 논현동,,,,,
강남가축병원,336458871,강원도 강릉시 포남동,,,,,
강남동물병원,,경기도 용인시 수지구 동천동,,,,,
강남동물병원,647232005,제주특별자치도 제주시 삼도이동,,,,,
강남동물병원,25147582,서울특별시 강남구 논현동,,,,,
강남동물병원,313997599,경기도 군포시 산본동,,,,,
강남동물병원,317413012,경기도 성남시 중원구 금광동,,,,,
강남동물병원,522670025,울산광역시 남구 달동,,,,,
강남동물병원,416317582,충청남도 홍성군 홍성읍 고암리,,,,,
강남동물병원,319067575,경기도 고양시 일산동구 식사동,,,,,
강남동물병원,28135999,서울특별시 동작구 대방동,,,,,
강남동물병원,544411183,경상북도 구미시 원평동,513-17-35681,,,,
강남동물병원,,경기도 평택시 팽성읍 안정리,,,,,
강남동물병원,313547844,경기도 화성시 향남읍 행정리,,,,,
강남메디컬동물병원,549011100,경상북도 안동시 정하동,,,,,
강남서초 동물병원,25989875,서울특별시 서초구 서초동,,,,,
강남애니동물메디컬센터,317950903,경기도 하남시 신장동,,,,,
강남종합동물병원,332630513,강원도 춘천시 석사동,,,,,
강남종합동물병원,312830775,경기도 용인시 기흥구 신갈동,,,,,
강내동물병원,432332145,충청북도 청주시 흥덕구 강내면 탑연리,,,,,
강내동물병원,432602145,충청북도 청원군 강내면 탑연리,,,,,
강동24시 SKY 동물의료센터,24727579,서울특별시 강동구 성내동,,,,,
강동동물병원,332563319,,,,,,
강동동물병원,24727343,서울특별시 강동구 길동,,,,,
강동물병원,557610383,경상남도 진주시 하대동,,,,,
강동물병원,533257579,대구광역시 북구 관음동,,,,,
강릉동물병원,336417584,강원도 강릉시 옥천동,,,,,
강릉축협동물병원,336452101,강원도 강릉시 입암동,,,,,
강북 24시 N 동물의료센터,29840075,서울특별시 성북구 길음동,209-16-81839,,,,
강북동물병원,29857525,서울특별시 강북구 번동,,,,,
강북동물병원,29244555,서울특별시 성북구 종암동,,,,,
강북동물병원,533252530,대구광역시 북구 태전동,,,,,
강북동물병원,115447633,경상북도 경산시 하양읍 동서리,,,,,
강북우리동물의료센터,29997582,서울특별시 도봉구 창동,667-16-00819,,,,
강북종합,,충청남도 공주시 신관동,,,,,
강산동물병원,,경기도 여주시 홍문동,,,,,
강산동물병원,316566166,경기도 안성시 원곡면 반제리,,,,,
강서YD동물의료센터,25187500,서울특별시 강서구 등촌동,,,,,
강서동물병원,432337512,충청북도 청주시 흥덕구 비하동,,,,,
강서동물병원,432337512,충청북도 청주시 흥덕구 비하동,,,,,
강서동물병원,226915900,서울특별시 강서구 화곡동,109-13-80771,,,,
강아지나라동물병원,315745957,경기도 남양주시 진접읍 장현리,,,,,
강아지와고양이나라 동물병원,324393578,인천광역시 남동구 논현동,,,,,
강애동물병원,,경상남도 창원시 서상동,,,,,
강애동물병원,552625152,경상남도 창원시 성산구 안민동,,,,,
강앤정 동물병원,23057505,서울특별시 서대문구 남가좌동,,,,,
강영석동물병원,416334200,충청남도 홍성군 홍성읍 오관리,,,,,
강원대학교 부속 동물병원,332508606,강원도 춘천시 효자동,,,,,
강원대학교부설 야생동물구조센터,332507504,강원도 춘천시 효자동,,,,,
강원동물병원,,강원도 홍천군 홍천읍 연봉리,,,,,
강원동물병원,,강원도 양구군 양구읍 하리,,,,,
강원동물병원,,강원도 삼척시 근덕면 광태리,,,,,
강원동물병원,337667494,강원도 원주시 중앙동,,,,,
강원동물병원,333730788,강원도 영월군 영월읍 영흥리,,,,,
강원양돈축산업협동조합동물병원,336422212,강원도 강릉시 교동,,,,,
강이동물병원,,충청남도 예산군 광시면 광시리,,,,,
강일웅 동물메디컬 센터,,울산광역시 남구 달동,,,,,
강주혁동물병원,,경상북도 성주군 용암면 상언리,,,,,
강진동물약품병원,,전라남도 강진군 강진읍 동성리,,,,,
강진완도축협동물병원,,전라남도 강진군 군동면 호계리,,,,,
강한 우리동물병원,,충청남도 당진시 합덕읍 운산리,,,,,
강해철 동물병원,,경상북도 문경시 모전동,,,,,
강현림 종합동물병원,226429159,서울특별시 양천구 목동,,,,,
강형모동물병원,,경상남도 합천군 합천읍 합천리,,,,,
강화동물병원,,인천광역시 강화군 선원면 창리,,,,,
개금동물병원,513249954,부산광역시 사상구 주례동,,,,,
개명동물병원,226190888,서울특별시 구로구 개봉동,,,,,
개봉동물병원,226155014,서울특별시 구로구 고척동,,,,,
개와냥이동물병원,23527275,서울특별시 은평구 대조동,229-67-00152,,,,
개포동물병원,317717278,경기도 양평군 양서면 양수리,,,,,
개포동물병원,234127582,서울특별시 강남구 개포동,,,,,
개포별빛동물병원,25737582,서울특별시 강남구 개포동,,,,,
갤러리아동물병원,221446175,서울특별시 송파구 잠실동,,,,,
거부기 동물병원,,경기도 고양시 일산동구 장항동,,,,,
거산동물병원,,충청남도 당진군 신평면 거산리,,,,,
거산동물병원,413632550,충청남도 당진시 신평면 거산리,,,,,
거제동물메디컬센터,556327583,경상남도 거제시 고현동,,,,,
거제동물병원,518628668,부산광역시 연제구 거제동,,,,,
거창축산업협동조합동물병원,559449976,경상남도 거창군 거창읍 대평리,,,,,
건국 동물병원,317214111,경기도 성남시 수정구 태평동,,,,,
건국 종합 가축병원 (출장전문병원),316767773,경기도 안성시 일죽면 송천리,,,,,
건국가축병원,,경상북도 상주시 신봉동,,,,,
건국대학교 부속 동물병원,24503664,서울특별시 광진구 화양동,,,,,
건국동물병원,,강원도 홍천군 홍천읍 연봉리,,,,,
건국동물병원,,충청남도 당진군 당진읍 읍내리,,,,,
건국동물병원,,충청북도 청주시 청원구 내수읍 마산리,,,,,
건국동물병원,,충청남도 당진시 읍내동,,,,,
건국동물병원,115239373,경상북도 경주시 외동읍 입실리,,,,,
건국동물병원,315690277,경기도 구리시 교문동,,,,,
건국동물병원,316657763,경기도 평택시 청북읍 어연리,,,,,
건국동물병원(출장진료전문),,충청남도 아산시 둔포면 둔포리,,,,,
건우동물병원,,경기도 양주시 은현면 선암리,,,,,
검단종합동물병원,,인천광역시 서구 마전동,,,,,
검암동물병원,173250270,인천광역시 서구 검암동,,,,,
견우동물병원,542527577,경상북도 포항시 북구 두호동,,,,,
견우동물병원,317670079,경기도 광주시 태전동,,,,,
경기 동물 영상 센터,,경기도 수원시 장안구 조원동,,,,,
경기도 도우미견나눔센터,3180086721,경기도 화성시 마도면 쌍송리,,,,,
경기도 야생동물 구조관리센터,3180086212,경기도 평택시 진위면 동천리,,,,,
경기동물메디컬센터,313758875,경기도 오산시 원동,,,,,
경기동물병원,,경기도 가평군 청평면 청평리,,,,,
경기동물병원,316666501,경기도 평택시 서정동,,,,,
경기동물병원,318652137,경기도 동두천시 생연동,,,,,
경기동물전문병원,112507582,경기도 이천시 중리동,,,,,
경기중앙동물병원,3.14439E+12,경기도 안양시 만안구 안양동,,,,,
경남동물병원,557525803,경상남도 진주시 일반성면 창촌리,,,,,
경남동물병원,553563100,경상남도 밀양시 내일동,,,,,
